text,label
urgent he is abusing me please,HARASSMENT
i think someone is stalking me please,FOLLOWING
help how to stay safe at night please,PREVENTION
help give me safety tips,PREVENTION
quick this area is dangerous asap,THREAT
quick how can i protect myself now,PREVENTION
urgent someone broke into my house immediately,EMERGENCY
help i am being assaulted asap,EMERGENCY
someone is harassing me asap,HARASSMENT
urgent i am safe now now,SAFE
i am scared right now now,THREAT
urgent safety precautions for women,PREVENTION
quick how to stay safe at night immediately,PREVENTION
please i am being assaulted,EMERGENCY
quick how can i protect myself,PREVENTION
help someone is yelling threats now,THREAT
please how can i protect myself now,PREVENTION
help someone is yelling threats asap,THREAT
help i am getting inappropriate comments now,HARASSMENT
urgent i am in danger please,EMERGENCY
quick i am in danger now,EMERGENCY
please how can i protect myself,PREVENTION
urgent i feel secure immediately,SAFE
help me please please,EMERGENCY
i am being assaulted please,EMERGENCY
help i am being assaulted please,EMERGENCY
urgent i am in danger now,EMERGENCY
quick someone is harassing me immediately,HARASSMENT
please no problem now please,SAFE
help everything is okay asap,SAFE
help a man is walking behind me,FOLLOWING
help this place feels unsafe,THREAT
please i feel like i'm being watched,FOLLOWING
i am safe now now,SAFE
urgent safety precautions for women immediately,PREVENTION
urgent everything is okay immediately,SAFE
urgent a man is walking behind me asap,FOLLOWING
help i feel like i'm being watched immediately,FOLLOWING
please i am in danger immediately,EMERGENCY
how to stay safe at night please,PREVENTION
help someone is chasing me now,FOLLOWING
ways to stay safe while traveling asap,PREVENTION
quick i am being assaulted asap,EMERGENCY
urgent someone is harassing me,HARASSMENT
help i feel secure please,SAFE
help i am safe now immediately,SAFE
urgent i am getting inappropriate comments asap,HARASSMENT
please no problem now asap,SAFE
help i am in danger,EMERGENCY
quick someone broke into my house asap,EMERGENCY
quick he is abusing me immediately,HARASSMENT
safety precautions for women asap,PREVENTION
quick ways to stay safe while traveling,PREVENTION
help i reached home safely now,SAFE
i am in danger,EMERGENCY
quick give me safety tips immediately,PREVENTION
urgent i feel uncomfortable with someone,HARASSMENT
ways to stay safe while traveling please,PREVENTION
quick someone is following me asap,FOLLOWING
quick give me safety tips now,PREVENTION
quick no problem now now,SAFE
help help me please,EMERGENCY
help i am in danger asap,EMERGENCY
help i feel threatened,THREAT
urgent someone is harassing me,HARASSMENT
please i am being assaulted please,EMERGENCY
urgent i am safe now immediately,SAFE
help i feel uncomfortable with someone please,HARASSMENT
urgent someone is following me now,FOLLOWING
please i am getting inappropriate comments please,HARASSMENT
quick someone is bothering me immediately,HARASSMENT
urgent how to stay safe at night immediately,PREVENTION
quick i think someone is stalking me now,FOLLOWING
help i feel like i'm being watched immediately,FOLLOWING
safety precautions for women immediately,PREVENTION
quick someone broke into my house please,EMERGENCY
someone is chasing me immediately,FOLLOWING
please i am getting inappropriate comments please,HARASSMENT
i am getting inappropriate comments please,HARASSMENT
urgent i am in danger please,EMERGENCY
i am safe now please,SAFE
urgent give me safety tips now,PREVENTION
please give me safety tips,PREVENTION
no problem now please,SAFE
quick i reached home safely,SAFE
help i feel secure now,SAFE
quick i feel threatened now,THREAT
how can i protect myself immediately,PREVENTION
quick i think someone is stalking me immediately,FOLLOWING
this area is dangerous,THREAT
i think someone is stalking me please,FOLLOWING
please he is abusing me now,HARASSMENT
help this area is dangerous now,THREAT
please help me please please,EMERGENCY
please someone is harassing me now,HARASSMENT
urgent i feel like i'm being watched,FOLLOWING
urgent everything is okay asap,SAFE
i am scared right now immediately,THREAT
quick he is abusing me please,HARASSMENT
urgent someone is harassing me now,HARASSMENT
someone is attacking me asap,EMERGENCY
urgent a man is walking behind me,FOLLOWING
please this place feels unsafe immediately,THREAT
help safety precautions for women,PREVENTION
urgent safety precautions for women please,PREVENTION
quick i am safe now asap,SAFE
i feel uncomfortable with someone asap,HARASSMENT
urgent someone broke into my house now,EMERGENCY
